"Time (s);""Magnetic Field x (µT)"";""Magnetic Field y (µT)"";""Magnetic Field z (µT)"";""Absolute field (µT)""",,,,,
1,720400500E-2;-1,343999939E2;-5,879999638E0;-8,304000092E1;1,5.81E+10
2,526051600E-2;-1,338000031E2;-5,819999695E0;-8,304000092E1;1,5.76E+10
3,325599500E-2;-1,337399902E2;-5,519999981E0;-8,304000092E1;1,5.75E+10
4,125147300E-2;-1,338000031E2;-5,579999924E0;-8,315999603E1;1,5.76E+10
4,933850300E-2;-1,342200012E2;-6,059999943E0;-8,340000153E1;1,5.81E+10
5,727294700E-2;-1,343999939E2;-5,819999695E0;-8,304000092E1;1,5.81E+10
6,526842500E-2;-1,345200043E2;-5,759999752E0;-8,297999573E1;1,5.82E+10
7,329442000E-2;-1,342799988E2;-5,339999676E0;-8,322000122E1;1,5.81E+10
8,128989900E-2;-1,340399933E2;-5,219999790E0;-8,315999603E1;1,5.78E+10
8,934641200E-2;-1,339199982E2;-5,759999752E0;-8,327999878E1;1,5.78E+10
9,731137300E-2;-1,337399902E2;-6,059999943E0;-8,322000122E1;1,5.76E+10
1,053068510E-1;-1,335000000E2;-5,940000057E0;-8,358000183E1;1,5.76E+10
1,133023290E-1;-1,338600006E2;-5,879999638E0;-8,351999664E1;1,5.79E+10
1,213283250E-1;-1,345200043E2;-5,699999809E0;-8,345999908E1;1,5.84E+10
1,293848370E-1;-1,351799927E2;-6,119999886E0;-8,375999451E1;1,5.91E+10
1,373497990E-1;-1,355999908E2;-6,599999905E0;-8,322000122E1;1,5.92E+10
1,453452770E-1;-1,350000000E2;-6,239999771E0;-8,315999603E1;1,5.87E+10
1,533407550E-1;-1,343999939E2;-6,119999886E0;-8,333999634E1;1,5.83E+10
1,613667510E-1;-1,339199982E2;-5,819999695E0;-8,286000061E1;1,5.76E+10
1,694232640E-1;-1,342799988E2;-5,879999638E0;-8,297999573E1;1,5.80E+10
1,773577080E-1;-1,345800018E2;-6,179999828E0;-8,315999603E1;1,5.83E+10
1,853837030E-1;-1,347599945E2;-6,239999771E0;-8,309999847E1;1,5.84E+10
1,933791810E-1;-1,345800018E2;-5,819999695E0;-8,309999847E1;1,5.83E+10
2,013746600E-1;-1,343999939E2;-5,699999809E0;-8,322000122E1;1,5.82E+10
2,094616890E-1;-1,345800018E2;-6,000000000E0;-8,309999847E1;1,5.83E+10
2,173961330E-1;-1,340399933E2;-5,879999638E0;-8,333999634E1;1,5.79E+10
2,253916120E-1;-1,343999939E2;-6,480000019E0;-8,358000183E1;1,5.84E+10
2,334176070E-1;-1,342200012E2;-6,359999657E0;-8,363999939E1;1,5.83E+10
2,414130850E-1;-1,341600037E2;-5,639999866E0;-8,333999634E1;1,5.80E+10
2,494695980E-1;-1,346999969E2;-5,579999924E0;-8,375999451E1;1,5.87E+10
2,574345590E-1;-1,348199921E2;-5,159999847E0;-8,322000122E1;1,5.85E+10
2,654300370E-1;-1,353000031E2;-5,460000038E0;-8,304000092E1;1,5.88E+10
2,734255160E-1;-1,350000000E2;-6,000000000E0;-8,327999878E1;1,5.87E+10
2,814515110E-1;-1,349400024E2;-6,119999886E0;-8,322000122E1;1,5.87E+10
2,895080230E-1;-1,347599945E2;-6,119999886E0;-8,333999634E1;1,5.86E+10
2,974729840E-1;-1,348799896E2;-6,420000076E0;-8,333999634E1;1,5.87E+10
3,054684630E-1;-1,345200043E2;-6,239999771E0;-8,286000061E1;1,5.81E+10
3,134639410E-1;-1,347599945E2;-6,359999657E0;-8,261999512E1;1,5.82E+10
